BENCHMARK_ID,DATE,SECURITY_ID,Weight,p_symbol,p_market_val_sec,Id,lsd_shs_hfloat_pct,mkt,Security_SEDOL,Tier,weight
PETCARE0,22-Nov-19,712387,4.348950069,7123870,311014.03,7123870,97.0766,301921.8458,7123870,Tier 2,0.450976769
PETCARE0,22-Nov-19,58933Y10,4.485199346,2778844,218076.25,2778844,99.9339,217932.1016,2778844,Tier 2,0.325522371
PETCARE0,22-Nov-19,98978V10,3.195353401,B95WG16,57436.895,B95WG16,99.9176,57389.567,B95WG16,Tier 2,0.085722056
PETCARE0,22-Nov-19,19416210,3.18186051,2209106,57079.13,2209106,99.5737,56835.80167,2209106,Tier 2,0.084894904
PETCARE0,22-Nov-19,83269640,0.67025894,2951452,11983.023,2951452,97.0012,11623.67611,2951452,Tier 2,0.017362135
PETCARE0,22-Nov-19,89235610,0.644230577,2900335,11370.976,2900335,99.4189,11304.89926,2900335,Tier 2,0.016885982
PETCARE0,22-Nov-19,28414H10,0.557082995,BF5L3T2,10350.861,BF5L3T2,99.7455,10324.51806,BF5L3T2,Tier 2,0.0154216
PETCARE0,22-Nov-19,70339510,0.090218332,2672689,1871.8638,2672689,87.6647,1640.963785,2672689,Tier 2,0.002451086
PETCARE0,22-Nov-19,651751,0.028643357,6517515,723.1576,6517515,70.6458,510.8804718,6517515,Tier 2,0.000763096
PETCARE0,22-Nov-19,45168D10,9.837421261,2459202,21787.166,2459202,98.4073,21440.16181,2459202,Tier 1,0.573059513
PETCARE0,22-Nov-19,96331,10.44176881,963318,3715.5403,963318,94.6666,3517.375674,963318,Tier 1,0.094013544
PETCARE0,22-Nov-19,35803910,9.419804964,BS7K7M9,1967.2659,BS7K7M9,95.288,1874.568331,BS7K7M9,Tier 1,0.050104063
PETCARE0,22-Nov-19,22304C10,6.180039033,BHZSB82,1626.3385,BHZSB82,86.8394,1412.302595,BHZSB82,Tier 1,0.037748476
PETCARE0,22-Nov-19,BJ62K6,6.536924369,BJ62K68,1383.6305,BJ62K68,94.6878,1310.129281,BJ62K68,Tier 1,0.035017555
PETCARE0,22-Nov-19,15352720,6.210524081,B1P36Y6,1326.2788,B1P36Y6,93.6467,1242.016329,B1P36Y6,Tier 1,0.03319701
PETCARE0,22-Nov-19,16679L10,4.510887664,BJLFHW7,1241.4221,BJLFHW7,82.5486,1024.776564,BJLFHW7,Tier 1,0.027390556
PETCARE0,22-Nov-19,89820210,4.709529009,BP3YM85,1213.3599,BP3YM85,80.4987,976.7389458,BP3YM85,Tier 1,0.026106591
PETCARE0,22-Nov-19,B28638,4.530214671,B286382,956.62885,B286382,99.2686,949.6320666,B286382,Tier 1,0.02538207
PETCARE0,22-Nov-19,739936,4.280439129,7399369,1932.6445,7399369,47.8219,924.2273201,7399369,Tier 1,0.024703044
PETCARE0,22-Nov-19,4.28E+34,3.895491705,B44C366,746.0084,B44C366,89.6688,668.9367802,B44C366,Tier 1,0.017879557
PETCARE0,22-Nov-19,B2R9XL,3.646017835,B2R9XL5,721.46985,B2R9XL5,83.4482,602.0536034,B2R9XL5,Tier 1,0.016091882
PETCARE0,22-Nov-19,71639T10,2.877325812,BDH65C8,541.9391,BDH65C8,90.9865,493.0914192,BDH65C8,Tier 1,0.013179505
PETCARE0,22-Nov-19,71638210,2.671305683,2143099,481.57727,2143099,95.5988,460.3820912,2143099,Tier 1,0.01230524
PETCARE0,22-Nov-19,49457710,1.647313315,BH3XG40,296.70438,BH3XG40,94.1434,279.3275913,BH3XG40,Tier 1,0.007465957
PETCARE0,22-Nov-19,B4LVNC,1.403195134,B4LVNC2,276.38193,B4LVNC2,86.0328,237.7791131,B4LVNC2,Tier 1,0.006355436
